Timestamp,Open,High,Low,Close,Volume,Date,Hour
1679591700,1983.15,1986.9,1981.5,1986.9,5198,2023-03-23,17:15
1679592600,1986.9,1986.9,1983.45,1984.4,4930,2023-03-23,17:30
1679593500,1984.4,1986.2,1981.7,1981.7,4482,2023-03-23,17:45
1679594400,1981.55,1984.9,1980.35,1984.85,4591,2023-03-23,18:00
1679595300,1984.7,1989.45,1984.55,1988.65,8433,2023-03-23,18:15
1679596200,1988.2,1989.75,1987.15,1988.35,6044,2023-03-23,18:30
1679597100,1988.35,1988.35,1984.65,1986.55,4248,2023-03-23,18:45
1679598000,1986.5,1991.1,1985.25,1990.6,3842,2023-03-23,19:00
1679598900,1990.75,1995.95,1990.65,1995.75,6629,2023-03-23,19:15
1679599800,1995.45,1997.95,1995.1,1995.8,11737,2023-03-23,19:30
1679600700,1995.8,1997.85,1995.2,1996.95,4320,2023-03-23,19:45
1679601600,1997.1,1997.85,1994.6,1994.85,4900,2023-03-23,20:00
1679602500,1994.8,1996.65,1993.4,1995.85,5879,2023-03-23,20:15
1679603400,1995.75,2001,1995.55,1998.3,6086,2023-03-23,20:30
1679604300,1998.55,2002.4,1997.9,2002.35,3297,2023-03-23,20:45
1679605200,2002.2,2004.95,2001.4,2003.45,4365,2023-03-23,21:00
1679606100,2003.6,2003.9,2001.75,2002.45,3225,2023-03-23,21:15
1679607000,2002.25,2006.05,2001.35,2005.85,5590,2023-03-23,21:30
1679607900,2005.1,2005.3,1995.45,1996.35,6009,2023-03-23,21:45
1679608800,1996.5,2001.8,1991,1998.9,9752,2023-03-23,22:00
1679609700,1999.2,2000.35,1994.9,1997.8,4129,2023-03-23,22:15
1679610600,1997.6,2000.85,1996.6,1999.15,3223,2023-03-23,22:30
1679611500,1999,2001,1996.95,2000.5,2484,2023-03-23,22:45
1679612400,2000.8,2001.5,1999.65,1999.7,1368,2023-03-23,23:00
1679613300,1999.65,1999.65,1997.2,1997.7,738,2023-03-23,23:15
1679614200,1997.75,1998,1995.3,1996,766,2023-03-23,23:30
1679615100,1996,1996.7,1995.4,1996.1,735,2023-03-23,23:45
1679618700,1996.45,1996.7,1996.45,1996.5,0,2023-03-24,00:45
