Timestamp,Open,High,Low,Close,Volume,Date,Hour
1670461200,18.6203,18.686,18.6115,18.6243,0,2022-12-08,01:00
1670468400,18.6467,18.6685,18.4573,18.6427,0,2022-12-08,03:00
1670547600,18.6113,18.6905,18.6113,18.6503,0,2022-12-09,01:00
1670554800,18.6408,18.6743,18.4535,18.6538,0,2022-12-09,03:00
1670814000,18.6504,18.6814,18.4485,18.64,0,2022-12-12,03:00
1670893200,18.6241,18.7085,18.5362,18.5717,0,2022-12-13,01:00
1670900400,18.7922,18.8685,18.573,18.575,0,2022-12-13,03:00
1670979600,18.597,18.6685,18.5361,18.6035,0,2022-12-14,01:00
1670986800,18.6197,18.6587,18.419,18.6282,0,2022-12-14,03:00
1671066000,18.5954,18.6791,18.554,18.6031,0,2022-12-15,01:00
1671073200,18.6295,18.6662,18.434,18.6418,0,2022-12-15,03:00
1671152400,18.6264,18.681,18.5957,18.646,0,2022-12-16,01:00
1671159600,18.6274,18.676,18.463,18.6393,0,2022-12-16,03:00
1671418800,18.478,18.6742,18.477,18.6526,0,2022-12-19,03:00
1671498000,18.6353,18.6833,18.6219,18.6406,0,2022-12-20,01:00
1671505200,18.656,18.6898,18.4811,18.6621,0,2022-12-20,03:00
1671584400,18.6479,18.7076,18.5987,18.6502,0,2022-12-21,01:00
1671591600,18.6501,18.707,18.475,18.6769,0,2022-12-21,03:00
1671670800,18.622,18.7042,18.6219,18.6424,0,2022-12-22,01:00
1671678000,18.5048,18.7097,18.5029,18.6653,0,2022-12-22,03:00
1671757200,18.6422,18.7208,18.6115,18.657,0,2022-12-23,01:00
1671764400,18.6442,18.7217,18.486,18.6657,0,2022-12-23,03:00
1672023600,18.6831,18.7533,18.474,18.6878,0,2022-12-26,03:00
1672102800,18.6603,18.7948,18.6164,18.667,0,2022-12-27,01:00
1672110000,18.6948,18.83,18.5282,18.702,0,2022-12-27,03:00
1672189200,18.6669,18.7736,18.6151,18.6777,0,2022-12-28,01:00
1672196400,18.6692,18.7465,18.4954,18.718,0,2022-12-28,03:00
1672275600,18.7009,18.7467,18.6688,18.6889,0,2022-12-29,01:00
1672282800,18.7319,18.7464,18.5486,18.7096,0,2022-12-29,03:00
1672362000,18.7028,18.7504,18.6691,18.6877,0,2022-12-30,01:00
1672369200,18.696,18.7238,18.5262,18.6905,0,2022-12-30,03:00
1672628400,18.6962,18.7542,18.5378,18.7148,0,2023-01-02,03:00
1672707600,18.694,18.8064,18.6711,18.6979,0,2023-01-03,01:00
1672714800,18.73,18.7682,18.5406,18.7284,0,2023-01-03,03:00
1672794000,18.7151,18.8124,18.6837,18.7224,0,2023-01-04,01:00
1672801200,18.7139,18.7723,18.5535,18.7432,0,2023-01-04,03:00
1672880400,18.7224,18.8135,18.7224,18.7378,0,2023-01-05,01:00
1672887600,18.7445,18.7868,18.5599,18.7655,0,2023-01-05,03:00
1672966800,18.7178,18.8204,18.6736,18.7524,0,2023-01-06,01:00
1672974000,18.7622,18.7984,18.586,18.7544,0,2023-01-06,03:00
1673233200,18.7405,18.8248,18.5526,18.7758,0,2023-01-09,03:00
1673312400,18.7652,18.8013,18.5565,18.7622,0,2023-01-10,01:00
1673319600,18.7733,18.7971,18.5347,18.7776,0,2023-01-10,03:00
1673398800,18.764,18.8429,18.7061,18.7633,0,2023-01-11,01:00
1673406000,18.7775,18.8276,18.5971,18.7775,0,2023-01-11,03:00
1673485200,18.7814,18.7865,18.7006,18.7785,0,2023-01-12,01:00
1673492400,18.7853,18.7988,18.6058,18.7807,0,2023-01-12,03:00
1673571600,18.7593,18.8505,18.7474,18.7824,0,2023-01-13,01:00
1673578800,18.79,18.8441,18.6219,18.8035,0,2023-01-13,03:00
1673838000,18.8021,18.8369,18.606,18.7977,0,2023-01-16,03:00
1673917200,18.7772,18.8145,18.698,18.7155,0,2023-01-17,01:00
1673924400,18.8285,18.8457,18.646,18.7504,0,2023-01-17,03:00
