Timestamp,Open,High,Low,Close,Volume,Date,Hour
1678182300,5951.4501953125,6002.3999023438,5951.4501953125,6002.3999023438,35166333,2023-03-07,09:45
1678183200,6013.1000976562,6032.33984375,5979.6298828125,6032.169921875,308611798,2023-03-07,10:00
1678184100,6033.08984375,6052.8500976562,6017.6801757812,6039.6298828125,185660063,2023-03-07,10:15
1678185000,6042.5400390625,6069.6499023438,6042.5400390625,6051.509765625,206115160,2023-03-07,10:30
1678185900,6051.75,6061.3701171875,6028.9399414062,6039.2202148438,137243549,2023-03-07,10:45
1678186800,6040.8500976562,6040.8500976562,6009.169921875,6029.16015625,101694819,2023-03-07,11:00
1678187700,6028.2900390625,6039.1201171875,6021.1801757812,6027.25,65084207,2023-03-07,11:15
1678188600,6024.009765625,6028.5400390625,6000.4501953125,6016.0200195312,70454190,2023-03-07,11:30
1678189500,6014.9702148438,6022.1201171875,6006.3500976562,6022.1201171875,40256571,2023-03-07,11:45
1678190400,6021.3999023438,6030.7900390625,6015.0698242188,6022.990234375,40278674,2023-03-07,12:00
1678191300,6023.1000976562,6040.0698242188,6022.2001953125,6031.0498046875,56042875,2023-03-07,12:15
1678192200,6030.5498046875,6031.3198242188,6017.8500976562,6021.1499023438,57335550,2023-03-07,12:30
1678193100,6021.7797851562,6026.009765625,5991.8100585938,5991.8100585938,43041337,2023-03-07,12:45
1678194000,5989.5698242188,6005.75,5980.0200195312,5988.9599609375,56732492,2023-03-07,13:00
1678194900,5988.6899414062,6001.4599609375,5984.830078125,5984.8798828125,34144231,2023-03-07,13:15
1678195800,5983.7797851562,5990.4702148438,5961.1000976562,5979.58984375,58068843,2023-03-07,13:30
1678196700,5977.7900390625,6001.0400390625,5974.5498046875,5986.9702148438,33989547,2023-03-07,13:45
1678197600,5987.490234375,5994.3198242188,5972.490234375,5974.0400390625,26563328,2023-03-07,14:00
1678198500,5973.5400390625,5974.0698242188,5955.3598632812,5973.2900390625,38289947,2023-03-07,14:15
1678199400,5974.5600585938,5988.3798828125,5974.0297851562,5983.919921875,32359449,2023-03-07,14:30
1678200300,5983.9599609375,5996.1801757812,5981.919921875,5987.9599609375,33953293,2023-03-07,14:45
1678201200,5987.2099609375,5993.08984375,5977.6499023438,5993.08984375,24644725,2023-03-07,15:00
1678202100,5992.8798828125,5995.3598632812,5977.0297851562,5981.4702148438,26798612,2023-03-07,15:15
1678203000,5978.509765625,5984.509765625,5972.259765625,5980.3500976562,26554185,2023-03-07,15:30
1678203900,5981.33984375,5981.9599609375,5955.740234375,5965.83984375,37897849,2023-03-07,15:45
1678204800,5966.4301757812,5970.5498046875,5939.9501953125,5965.1899414062,57250891,2023-03-07,16:00
1678205700,5967.009765625,5969.5600585938,5957.080078125,5967.8598632812,36643111,2023-03-07,16:15
1678206600,5968.8100585938,5981.990234375,5966.6401367188,5972.9399414062,31407768,2023-03-07,16:30
1678207500,5972.3901367188,6004.6000976562,5972.0200195312,6001.08984375,58401732,2023-03-07,16:45
1678208400,6002.240234375,6002.240234375,5972.5400390625,5972.5400390625,45497480,2023-03-07,17:00
1678209300,5971.6098632812,5979.5400390625,5959.8198242188,5964.6298828125,47644092,2023-03-07,17:15
1678210200,5957.66015625,5958.2998046875,5939.7099609375,5940.1401367188,65817296,2023-03-07,17:30
1678211100,5938.8701171875,5965.6298828125,5928.6801757812,5940.7299804688,113016252,2023-03-07,17:45
1678212000,5939.7202148438,5939.7202148438,5928.3198242188,5928.3198242188,62664934,2023-03-07,18:00
1678268700,5928.3198242188,5928.3198242188,5925.2202148438,5925.2202148438,15632788,2023-03-08,09:45
1678269600,5923.8999023438,5936.6899414062,5896.3500976562,5915.2202148438,195787417,2023-03-08,10:00
1678270500,5917.7202148438,5932.75,5904.0498046875,5928.9702148438,115213286,2023-03-08,10:15
1678271400,5931.240234375,5954.2700195312,5928.7797851562,5938.1201171875,95315877,2023-03-08,10:30
1678272300,5938.0297851562,5964.2900390625,5929.4301757812,5955.7099609375,62536418,2023-03-08,10:45
1678273200,5959.1899414062,5962.5698242188,5947.6201171875,5958.2202148438,46799868,2023-03-08,11:00
1678274100,5958.8999023438,5971.8701171875,5942.3198242188,5948.08984375,88059131,2023-03-08,11:15
1678275000,5948.3901367188,5956.8701171875,5939.0200195312,5941.25,52003364,2023-03-08,11:30
1678275900,5939.830078125,5951.3500976562,5933.5200195312,5940.3198242188,35928449,2023-03-08,11:45
1678276800,5941.8999023438,5951.83984375,5933.1000976562,5933.509765625,25754751,2023-03-08,12:00
1678277700,5932.1801757812,5940.7998046875,5930.0400390625,5940.1401367188,24713205,2023-03-08,12:15
1678278600,5939.8500976562,5940.58984375,5933.58984375,5935.8701171875,22406917,2023-03-08,12:30
1678279500,5934.9501953125,5937.009765625,5928.3999023438,5929.1801757812,23001148,2023-03-08,12:45
1678280400,5929.0297851562,5929.4301757812,5911.3798828125,5923.25,37854762,2023-03-08,13:00
1678281300,5923.3798828125,5923.990234375,5911.7001953125,5918.4799804688,23686842,2023-03-08,13:15
1678282200,5917.490234375,5918.4399414062,5904.5600585938,5916.419921875,26041482,2023-03-08,13:30
1678283100,5915.0400390625,5924.169921875,5904.5297851562,5904.7202148438,23842919,2023-03-08,13:45
1678284000,5904.2001953125,5910.08984375,5886.2001953125,5901.8500976562,48378770,2023-03-08,14:00
1678284900,5901.2299804688,5912.2099609375,5892.3198242188,5912.009765625,23499497,2023-03-08,14:15
1678285800,5912.0600585938,5922.0297851562,5911.25,5917.25,35401356,2023-03-08,14:30
1678286700,5915.0200195312,5917.3798828125,5907.169921875,5912.83984375,32492911,2023-03-08,14:45
1678287600,5913.3701171875,5922.9399414062,5908.58984375,5915.5297851562,24120746,2023-03-08,15:00
1678288500,5912.08984375,5914.7797851562,5907.1499023438,5910.33984375,24599635,2023-03-08,15:15
1678289400,5912.1401367188,5913.5,5901.9501953125,5905.5498046875,25800855,2023-03-08,15:30
1678290300,5905.7700195312,5919.8999023438,5903.0600585938,5918.7998046875,33410660,2023-03-08,15:45
1678291200,5918.9702148438,5936.509765625,5918.9702148438,5932.6298828125,59850895,2023-03-08,16:00
1678292100,5932.5498046875,5943.6499023438,5922.2700195312,5942.4702148438,60620434,2023-03-08,16:15
1678293000,5942.4399414062,5988.3701171875,5942.4399414062,5987.9702148438,195379181,2023-03-08,16:30
1678293900,5989.7001953125,5996.759765625,5979.16015625,5988.3798828125,205554519,2023-03-08,16:45
1678294800,5990.830078125,6010.2299804688,5986.58984375,5988.7700195312,122206363,2023-03-08,17:00
1678295700,5987.58984375,6001.4799804688,5976.919921875,5979.1801757812,114620166,2023-03-08,17:15
1678296600,5976.3798828125,6000.8701171875,5967.080078125,5994.3701171875,139749832,2023-03-08,17:30
1678297500,5993.8598632812,6023.9301757812,5984.3999023438,6013.240234375,238373177,2023-03-08,17:45
1678298400,6014.1801757812,6017.33984375,6013.6801757812,6017.33984375,60427482,2023-03-08,18:00
1678355100,6017.33984375,6041.8100585938,6017.33984375,6041.8100585938,30263150,2023-03-09,09:45
1678356000,6030.919921875,6052.5600585938,6006.75,6038.4399414062,271387941,2023-03-09,10:00
1678356900,6039.3901367188,6071.9799804688,6035.0200195312,6048.3598632812,155216142,2023-03-09,10:15
1678357800,6051.4399414062,6065.5200195312,6045.490234375,6064.3798828125,151584564,2023-03-09,10:30
1678358700,6064.4599609375,6087.6499023438,6064.4599609375,6074.9599609375,226155290,2023-03-09,10:45
1678359600,6076.3100585938,6097.8598632812,6076.3100585938,6087.25,132489336,2023-03-09,11:00
1678360500,6088.080078125,6098.009765625,6074.3100585938,6076,129681986,2023-03-09,11:15
1678361400,6077.1401367188,6081.8701171875,6064.9399414062,6069.7998046875,122238389,2023-03-09,11:30
1678362300,6069.419921875,6070.6098632812,6052.6201171875,6060.1201171875,52553305,2023-03-09,11:45
1678363200,6058.3701171875,6058.3701171875,6040.75,6053.3701171875,54782891,2023-03-09,12:00
1678364100,6052.6098632812,6071,6052.6098632812,6065.6499023438,48202472,2023-03-09,12:15
1678365000,6064.1899414062,6064.6201171875,6056.7099609375,6059.7998046875,40677881,2023-03-09,12:30
1678365900,6059.1201171875,6064.009765625,6052.3598632812,6058.419921875,40539778,2023-03-09,12:45
1678366800,6057.83984375,6057.83984375,6046.580078125,6051.2202148438,60694518,2023-03-09,13:00
1678367700,6052.1000976562,6071.25,6052.1000976562,6070.490234375,60765425,2023-03-09,13:15
1678368600,6070.6801757812,6078.0400390625,6063.8999023438,6071.1000976562,53509089,2023-03-09,13:30
1678369500,6070.9501953125,6081.2202148438,6064.8100585938,6078.919921875,56033015,2023-03-09,13:45
1678370400,6078.2700195312,6086.8100585938,6065.919921875,6068.4599609375,96092808,2023-03-09,14:00
1678371300,6068.2202148438,6070.25,6057.6899414062,6067.1098632812,65792392,2023-03-09,14:15
1678372200,6066.08984375,6075.990234375,6062.0297851562,6074.9501953125,42007936,2023-03-09,14:30
1678373100,6077.0200195312,6081.41015625,6069.5498046875,6070.8198242188,50970217,2023-03-09,14:45
1678374000,6070.8999023438,6072.8798828125,6046.2998046875,6046.5698242188,45231787,2023-03-09,15:00
1678374900,6043.580078125,6064.91015625,6041.3901367188,6060.509765625,37192587,2023-03-09,15:15
1678375800,6060.9301757812,6075.259765625,6055.669921875,6069.9799804688,71732220,2023-03-09,15:30
1678376700,6069,6082.2099609375,6061.3901367188,6061.9599609375,75403249,2023-03-09,15:45
1678377600,6061.580078125,6071.259765625,6052.9702148438,6060.7900390625,49980724,2023-03-09,16:00
1678378500,6061.1298828125,6072.2299804688,6059.3500976562,6071.2202148438,37583412,2023-03-09,16:15
1678379400,6072.5200195312,6080.75,6065.7900390625,6066.41015625,98469097,2023-03-09,16:30
1678380300,6068.7099609375,6075.080078125,6061.6899414062,6070.509765625,66572956,2023-03-09,16:45
1678381200,6070.7202148438,6071.1298828125,6046.740234375,6058.3701171875,98633278,2023-03-09,17:00
1678382100,6056.580078125,6058.5698242188,6024.5,6040.169921875,100966750,2023-03-09,17:15
1678383000,6039.0498046875,6039.0498046875,6006.0600585938,6018.9501953125,87252866,2023-03-09,17:30
1678383900,6018.490234375,6031.3198242188,6010.8701171875,6017.4399414062,98123981,2023-03-09,17:45
1678384800,6019.1801757812,6019.1801757812,6010.16015625,6010.16015625,59166188,2023-03-09,18:00
1678441500,6010.16015625,6010.16015625,5950.0200195312,5950.0200195312,17021822,2023-03-10,09:45
1678442400,5948.6298828125,5990.2299804688,5937.0498046875,5972.3198242188,214545791,2023-03-10,10:00
1678443300,5971.2998046875,6002.3598632812,5970.7998046875,5996.5698242188,126484762,2023-03-10,10:15
1678444200,5995.7299804688,5997.2001953125,5974.9599609375,5985.2797851562,87268747,2023-03-10,10:30
1678445100,5984.7001953125,5985.2998046875,5964.0200195312,5964.080078125,58256070,2023-03-10,10:45
1678446000,5961.330078125,5979.3701171875,5953.58984375,5973.8901367188,87724309,2023-03-10,11:00
1678446900,5972.8999023438,5988.1201171875,5966.5,5985.8701171875,59233199,2023-03-10,11:15
1678447800,5983.1401367188,5986.740234375,5974.8598632812,5984.919921875,50316242,2023-03-10,11:30
1678448700,5984.759765625,5991.1098632812,5978.759765625,5979.3598632812,38356165,2023-03-10,11:45
1678449600,5980.3500976562,5993.6000976562,5979.6000976562,5990.4501953125,71672090,2023-03-10,12:00
1678450500,5991.1201171875,5996.41015625,5988.4799804688,5994.75,38382101,2023-03-10,12:15
1678451400,5994.1298828125,5996.1098632812,5981.5297851562,5981.6801757812,45426572,2023-03-10,12:30
